Error	Name													
41.32080078	3-UpCCGSD													
39.0625	3-UpCCGSD													
40.64941406	3-UpCCGSD													
39.30664063	3-UpCCGSD													
39.0625	3-UpCCGSD													
39.0625	3-UpCCGSD													
39.73388672	3-UpCCGSD													
38.57421875	3-UpCCGSD													
38.94042969	3-UpCCGSD													
39.85595703	3-UpCCGSD													
40.34423828	3-UpCCGSD													
38.51318359	3-UpCCGSD													
39.36767578	3-UpCCGSD													
40.28320313	3-UpCCGSD													
42.11425781	3-UpCCGSD													
42.35839844	3-UpCCGSD													
42.90771484	3-UpCCGSD													
43.82324219	3-UpCCGSD													
43.70117188	3-UpCCGSD													
42.23632813	4-UpCCGSD													
42.66357422	4-UpCCGSD													
42.66357422	4-UpCCGSD													
42.17529297	4-UpCCGSD													
41.80908203	4-UpCCGSD													
39.0625	4-UpCCGSD													
38.39111328	4-UpCCGSD													
39.67285156	4-UpCCGSD													
39.0625	4-UpCCGSD													
39.0625	4-UpCCGSD													
39.48974609	4-UpCCGSD													
38.39111328	4-UpCCGSD													
38.75732422	4-UpCCGSD													
39.79492188	4-UpCCGSD													
39.18457031	4-UpCCGSD													
38.94042969	4-UpCCGSD													
39.97802734	4-UpCCGSD													
39.97802734	4-UpCCGSD													
42.17529297	4-UpCCGSD													
41.68701172	4-UpCCGSD													
41.93115234	4-UpCCGSD													
43.45703125	4-UpCCGSD													
42.84667969	4-UpCCGSD													
42.90771484	4-UpCCGSD													
42.41943359	4-UpCCGSD													
41.87011719	4-UpCCGSD													
41.74804688	4-UpCCGSD													
41.25976563	4-UpCCGSD													
39.97802734	4-UpCCGSD													
38.51318359	4-UpCCGSD													
39.48974609	4-UpCCGSD													
39.36767578	4-UpCCGSD													
39.18457031	4-UpCCGSD													
38.94042969	4-UpCCGSD													
38.69628906	4-UpCCGSD													
38.51318359	4-UpCCGSD													
39.24560547	4-UpCCGSD													
39.48974609	4-UpCCGSD													
39.42871094	4-UpCCGSD													
39.36767578	4-UpCCGSD													
41.015625	4-UpCCGSD													
40.64941406	4-UpCCGSD													
41.25976563	4-UpCCGSD													
42.96875	4-UpCCGSD													
43.21289063	4-UpCCGSD													
43.09082031	4-UpCCGSD													
42.23632813	4-UpCCGSD													
43.09082031	4-UpCCGSD													
42.66357422	4-UpCCGSD													
41.74804688	4-UpCCGSD													
41.74804688	4-UpCCGSD													
39.79492188	4-UpCCGSD													
39.24560547	4-UpCCGSD													
38.75732422	4-UpCCGSD													
38.81835938	4-UpCCGSD													
39.0625	4-UpCCGSD													
38.87939453	4-UpCCGSD													
38.69628906	4-UpCCGSD													
39.30664063	4-UpCCGSD													
39.79492188	4-UpCCGSD													
40.46630859	4-UpCCGSD													
39.18457031	4-UpCCGSD													
39.36767578	4-UpCCGSD													
40.10009766	4-UpCCGSD													
41.62597656	4-UpCCGSD													
42.54150391	4-UpCCGSD													
42.05322266	4-UpCCGSD													
43.27392578	4-UpCCGSD													
43.09082031	4-UpCCGSD													
43.02978516	5-UpCCGSD													
42.78564453	5-UpCCGSD													
43.02978516	5-UpCCGSD													
41.62597656	5-UpCCGSD													
40.0390625	5-UpCCGSD													
39.97802734	5-UpCCGSD													
38.69628906	5-UpCCGSD													
39.30664063	5-UpCCGSD													
39.55078125	5-UpCCGSD													
39.00146484	5-UpCCGSD													
39.24560547	5-UpCCGSD													
39.30664063	5-UpCCGSD													
38.87939453	5-UpCCGSD													
39.48974609	5-UpCCGSD													
39.55078125	5-UpCCGSD													
39.00146484	5-UpCCGSD													
39.73388672	5-UpCCGSD													
40.34423828	5-UpCCGSD													
40.95458984	5-UpCCGSD													
41.74804688	5-UpCCGSD													
43.27392578	5-UpCCGSD													
41.9921875	5-UpCCGSD													
43.27392578	5-UpCCGSD													
43.82324219	5-UpCCGSD													
42.60253906	5-UpCCGSD													
42.78564453	5-UpCCGSD													
41.56494141	5-UpCCGSD													
40.46630859	5-UpCCGSD													
41.015625	5-UpCCGSD													
39.91699219	5-UpCCGSD													
39.0625	5-UpCCGSD													
38.57421875	5-UpCCGSD													
40.0390625	5-UpCCGSD													
39.36767578	5-UpCCGSD													
38.51318359	5-UpCCGSD													
38.81835938	5-UpCCGSD													
39.91699219	5-UpCCGSD													
39.73388672	5-UpCCGSD													
38.57421875	5-UpCCGSD													
38.81835938	5-UpCCGSD													
40.34423828	5-UpCCGSD													
41.87011719	5-UpCCGSD													
41.87011719	5-UpCCGSD													
41.74804688	5-UpCCGSD													
42.84667969	5-UpCCGSD													
42.96875	5-UpCCGSD													
43.39599609	5-UpCCGSD													
42.90771484	5-UpCCGSD													
43.33496094	5-UpCCGSD													
41.56494141	5-UpCCGSD													
41.68701172	5-UpCCGSD													
39.91699219	5-UpCCGSD													
39.55078125	5-UpCCGSD													
39.30664063	5-UpCCGSD													
39.85595703	5-UpCCGSD													
39.42871094	5-UpCCGSD													
38.94042969	5-UpCCGSD													
39.36767578	5-UpCCGSD													
39.0625	5-UpCCGSD													
39.00146484	5-UpCCGSD													
39.67285156	5-UpCCGSD													
39.97802734	5-UpCCGSD													
40.0390625	5-UpCCGSD													
39.61181641	5-UpCCGSD													
41.93115234	5-UpCCGSD													
42.96875	5-UpCCGSD													
42.96875	5-UpCCGSD													
42.48046875	5-UpCCGSD													
42.11425781	5-UpCCGSD													
